Change Physical Footprint: Designator=C110 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C111 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C112 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C113 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=FB1 Old Footprint=FB0603X08N New Footprint=FB0603X08N
Change Physical Footprint: Designator=FB2 Old Footprint=FB0603X08N New Footprint=FB0603X08N
Change Physical Footprint: Designator=FB3 Old Footprint=FB0805X12N New Footprint=FB0805X12N
Change Physical Footprint: Designator=FB4 Old Footprint=FB0603X08N New Footprint=FB0603X08N
Change Physical Footprint: Designator=FB5 Old Footprint=FB0603X08N New Footprint=FB0603X08N
Change Physical Footprint: Designator=FB6 Old Footprint=FB0603X08N New Footprint=FB0603X08N
Change Physical Footprint: Designator=FB7 Old Footprint=FB0805X12N New Footprint=FB0805X12N
Change Physical Footprint: Designator=IN1 Old Footprint=INDC2520X10N New Footprint=INDC2520X10N
Change Physical Footprint: Designator=IN2 Old Footprint=INDC2520X10N New Footprint=INDC2520X10N
Change Physical Footprint: Designator=IN3 Old Footprint=INDM7266X30N New Footprint=INDM7266X30N
Change Physical Footprint: Designator=J1 Old Footprint=CONN_2X5P_1.27MM - duplicate New Footprint=CONN_2X5P_1.27MM - duplicate
Change Physical Footprint: Designator=J2 Old Footprint=JST_GH_4_PIN New Footprint=JST_GH_4_PIN
Change Physical Footprint: Designator=J3 Old Footprint=JST_GH_8_PIN New Footprint=JST_GH_8_PIN
Change Physical Footprint: Designator=J4 Old Footprint=USB_TYPE_A_FE New Footprint=USB_TYPE_A_FE
Change Physical Footprint: Designator=J5 Old Footprint=JST_S2P_VH New Footprint=JST_S2P_VH
Change Physical Footprint: Designator=J6 Old Footprint=JST_B2B_XH_A_GU New Footprint=JST_B2B_XH_A_GU
Change Physical Footprint: Designator=J7 Old Footprint=JST_B2B_XH_A_GU New Footprint=JST_B2B_XH_A_GU
Change Physical Footprint: Designator=J8 Old Footprint=JST_B2B_XH_A_GU New Footprint=JST_B2B_XH_A_GU
Change Physical Footprint: Designator=L1 Old Footprint=INDC0603X08N New Footprint=INDC0603X08N
Change Physical Footprint: Designator=L2 Old Footprint=INDC0603X08N New Footprint=INDC0603X08N
Change Physical Footprint: Designator=L3 Old Footprint=INDC0201 New Footprint=INDC0201
Change Physical Footprint: Designator=L4 Old Footprint=INDC0201 New Footprint=INDC0201
Change Physical Footprint: Designator=L5 Old Footprint=INDC0201 New Footprint=INDC0201
Change Physical Footprint: Designator=L6 Old Footprint=INDC0201 New Footprint=INDC0201
Change Physical Footprint: Designator=L7 Old Footprint=INDC0201 New Footprint=INDC0201
Change Physical Footprint: Designator=L8 Old Footprint=INDC6060X45N New Footprint=INDC6060X45N
Change Physical Footprint: Designator=L9 Old Footprint=INDC6060X45N New Footprint=INDC6060X45N
Change Physical Footprint: Designator=LED1A Old Footprint=LED_0805_127P120X200-2N New Footprint=LED_0805_127P120X200-2N
Change Physical Footprint: Designator=LED1B Old Footprint=LED_0805_127P120X200-2N New Footprint=LED_0805_127P120X200-2N
Change Physical Footprint: Designator=LED1C Old Footprint=LED_0805_127P120X200-2N New Footprint=LED_0805_127P120X200-2N
Change Physical Footprint: Designator=LED1D Old Footprint=LED_0805_127P120X200-2N New Footprint=LED_0805_127P120X200-2N
Change Physical Footprint: Designator=Q1A Old Footprint=SOT23_P240X110-3N New Footprint=SOT23_P240X110-3N
Change Physical Footprint: Designator=Q1B Old Footprint=SOT23_P240X110-3N New Footprint=SOT23_P240X110-3N
Change Physical Footprint: Designator=Q1C Old Footprint=SOT23_P240X110-3N New Footprint=SOT23_P240X110-3N
Change Physical Footprint: Designator=Q1D Old Footprint=SOT23_P240X110-3N New Footprint=SOT23_P240X110-3N
Change Physical Footprint: Designator=R1 Old Footprint=CAPC0201X03N New Footprint=CAPC0201X03N
Change Physical Footprint: Designator=R2A Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R2B Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R2C Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R2D Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R3A Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R3B Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R3C Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R3D Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R4A Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R4B Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R4C Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R4D Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R5 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R6 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R7 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R8 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R9 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R10 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R11 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R12 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R13 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R14 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R15 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R16 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R17 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R18 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R19 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R20 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R21 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R22 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R23 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R24 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R25 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R26 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R27 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R28 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R29 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R30 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R31 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R32 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R33 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R34 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R35 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R36 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R37 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R38 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R39 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R40 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R41 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R42 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R43 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R44 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R45 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R46 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R47 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=R48 Old Footprint=RECS0603X45N New Footprint=RECS0603X45N
Change Physical Footprint: Designator=SD1 Old Footprint=SD_SMB_1A New Footprint=SD_SMB_1A
Change Physical Footprint: Designator=SD2 Old Footprint=SD_SMB_1A New Footprint=SD_SMB_1A
Change Physical Footprint: Designator=SW1 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW2 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW3 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW4 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW5 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW6 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW7 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=SW8 Old Footprint=SW_PB_2 New Footprint=SW_PB_2
Change Physical Footprint: Designator=TP1 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP2 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP3 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP4 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP5 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP6 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP7 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP8 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP9 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP10 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP11 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP12 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP13 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP14 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP15 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP16 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP17 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP18 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP19 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP20 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP21 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP22 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP23 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP24 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP25 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP26 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP27 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP28 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP29 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP30 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP31 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP32 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP33 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP34 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP35 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP36 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP37 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP38 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP39 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP40 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP41 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP42 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP43 Old Footprint=TEST_POINT New Footprint=TEST_POINT
Change Physical Footprint: Designator=TP44 Old Footprint=TEST_POINT New Footprint=TEST_POINT
