Altium Designer Pick and Place Locations
C:\Users\kavin\Desktop\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Driver\Project Outputs for Free Documents\Pick Place\Pick Place for PCB(Fabrication Variant).txt

========================================================================================================================
File Design Information:

Date:       16/09/26
Time:       18:59
Revision:   001faec4ccd30f65ce1fd190df22033bef97a918
Variant:    Fabrication Variant
Units used: mil

Designator Comment              Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                              
R37        "68 ohm"             TopLayer RECS0603X45N                 4309.000      454.000       270      "C861523, RT0603BRD0768RL, -55?~+155? 100mW 68O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R36        "68 ohm"             TopLayer RECS0603X45N                 4640.000      455.000       270      "C861523, RT0603BRD0768RL, -55?~+155? 100mW 68O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R35        4.7k                 TopLayer RECS0603X45N                 3390.748      1787.401      0        "C513565, RT0603BRD074K7L, -55?~+155? 100mW 4.7kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R34        10k                  TopLayer RECS0603X45N                 3390.000      1922.000      0        "C95204, RT0603BRD0710KL, -55?~+155? 100mW 10kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R33        10k                  TopLayer RECS0603X45N                 3390.000      1855.000      0        "C95204, RT0603BRD0710KL, -55?~+155? 100mW 10kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R32        4.7k                 TopLayer RECS0603X45N                 3390.000      1989.000      180      "C513565, RT0603BRD074K7L, -55?~+155? 100mW 4.7kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R31        100k                 TopLayer RECS0603X45N                 2964.567      1782.480      270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R30        100k                 TopLayer RECS0603X45N                 2963.582      1935.039      90       "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R29        100k                 TopLayer RECS0603X45N                 3110.000      1477.000      270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R28        100k                 TopLayer RECS0603X45N                 3110.236      1628.937      90       "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
